empty,monotonicity,smoothness,corner_max,snake,merge_potential,avg_score
20,-0.8,-1.0,10,0.5,1.5,2812.40
20,-0.8,-1.0,10,0.5,3.0,2862.40
20,-0.8,-1.0,10,1.0,1.5,2897.60
20,-0.8,-1.0,10,1.0,3.0,2964.00
20,-0.8,-1.0,15,0.5,1.5,2906.40
20,-0.8,-1.0,15,0.5,3.0,2812.40
20,-0.8,-1.0,15,1.0,1.5,2912.00
20,-0.8,-1.0,15,1.0,3.0,2819.20
20,-0.8,-1.5,10,0.5,1.5,2930.00
20,-0.8,-1.5,10,0.5,3.0,2807.60
20,-0.8,-1.5,10,1.0,1.5,3138.80
20,-0.8,-1.5,10,1.0,3.0,2932.40
20,-0.8,-1.5,15,0.5,1.5,2891.20
20,-0.8,-1.5,15,0.5,3.0,2842.00
20,-0.8,-1.5,15,1.0,1.5,2885.60
20,-0.8,-1.5,15,1.0,3.0,2903.60
20,-1.2,-1.0,10,0.5,1.5,2919.60
20,-1.2,-1.0,10,0.5,3.0,2917.60
20,-1.2,-1.0,10,1.0,1.5,2967.20
20,-1.2,-1.0,10,1.0,3.0,3027.20
20,-1.2,-1.0,15,0.5,1.5,3000.40
20,-1.2,-1.0,15,0.5,3.0,2850.40
20,-1.2,-1.0,15,1.0,1.5,2741.60
20,-1.2,-1.0,15,1.0,3.0,2842.40
20,-1.2,-1.5,10,0.5,1.5,3102.40
20,-1.2,-1.5,10,0.5,3.0,2860.40
20,-1.2,-1.5,10,1.0,1.5,2997.20
20,-1.2,-1.5,10,1.0,3.0,2882.80
20,-1.2,-1.5,15,0.5,1.5,2974.40
20,-1.2,-1.5,15,0.5,3.0,2949.20
20,-1.2,-1.5,15,1.0,1.5,2931.60
20,-1.2,-1.5,15,1.0,3.0,2880.00
35,-0.8,-1.0,10,0.5,1.5,2896.40
35,-0.8,-1.0,10,0.5,3.0,3022.00
35,-0.8,-1.0,10,1.0,1.5,3012.80
35,-0.8,-1.0,10,1.0,3.0,3044.40
35,-0.8,-1.0,15,0.5,1.5,2890.80
35,-0.8,-1.0,15,0.5,3.0,2961.60
35,-0.8,-1.0,15,1.0,1.5,2961.60
35,-0.8,-1.0,15,1.0,3.0,3057.20
35,-0.8,-1.5,10,0.5,1.5,2898.00
35,-0.8,-1.5,10,0.5,3.0,2938.00
35,-0.8,-1.5,10,1.0,1.5,3196.80
35,-0.8,-1.5,10,1.0,3.0,3031.20
35,-0.8,-1.5,15,0.5,1.5,2982.40
35,-0.8,-1.5,15,0.5,3.0,3016.00
35,-0.8,-1.5,15,1.0,1.5,3000.00
35,-0.8,-1.5,15,1.0,3.0,3054.80
35,-1.2,-1.0,10,0.5,1.5,2960.40
35,-1.2,-1.0,10,0.5,3.0,2976.40
35,-1.2,-1.0,10,1.0,1.5,3041.20
35,-1.2,-1.0,10,1.0,3.0,2996.40
35,-1.2,-1.0,15,0.5,1.5,2937.20
35,-1.2,-1.0,15,0.5,3.0,2806.80
35,-1.2,-1.0,15,1.0,1.5,2946.80
35,-1.2,-1.0,15,1.0,3.0,3064.80
35,-1.2,-1.5,10,0.5,1.5,2843.20
35,-1.2,-1.5,10,0.5,3.0,3092.80
35,-1.2,-1.5,10,1.0,1.5,2948.00
35,-1.2,-1.5,10,1.0,3.0,3053.20
35,-1.2,-1.5,15,0.5,1.5,2747.20
35,-1.2,-1.5,15,0.5,3.0,2860.80
35,-1.2,-1.5,15,1.0,1.5,2928.80
35,-1.2,-1.5,15,1.0,3.0,2790.40
50,-0.8,-1.0,10,0.5,1.5,2918.00
50,-0.8,-1.0,10,0.5,3.0,2940.80
50,-0.8,-1.0,10,1.0,1.5,2934.40
50,-0.8,-1.0,10,1.0,3.0,2856.80
50,-0.8,-1.0,15,0.5,1.5,2888.40
50,-0.8,-1.0,15,0.5,3.0,2883.20
50,-0.8,-1.0,15,1.0,1.5,2923.60
50,-0.8,-1.0,15,1.0,3.0,2852.80
50,-0.8,-1.5,10,0.5,1.5,2984.80
50,-0.8,-1.5,10,0.5,3.0,3071.20
50,-0.8,-1.5,10,1.0,1.5,2878.00
50,-0.8,-1.5,10,1.0,3.0,2872.00
50,-0.8,-1.5,15,0.5,1.5,2917.60
50,-0.8,-1.5,15,0.5,3.0,2888.00
50,-0.8,-1.5,15,1.0,1.5,2942.00
50,-0.8,-1.5,15,1.0,3.0,2938.00
50,-1.2,-1.0,10,0.5,1.5,2943.20
50,-1.2,-1.0,10,0.5,3.0,2908.40
50,-1.2,-1.0,10,1.0,1.5,2834.40
50,-1.2,-1.0,10,1.0,3.0,2803.20
50,-1.2,-1.0,15,0.5,1.5,3000.40
50,-1.2,-1.0,15,0.5,3.0,2920.40
50,-1.2,-1.0,15,1.0,1.5,3022.40
50,-1.2,-1.0,15,1.0,3.0,2877.60
50,-1.2,-1.5,10,0.5,1.5,3139.60
50,-1.2,-1.5,10,0.5,3.0,2882.80
50,-1.2,-1.5,10,1.0,1.5,2993.20
50,-1.2,-1.5,10,1.0,3.0,2938.00
50,-1.2,-1.5,15,0.5,1.5,2860.00
50,-1.2,-1.5,15,0.5,3.0,2802.00
50,-1.2,-1.5,15,1.0,1.5,2973.20
50,-1.2,-1.5,15,1.0,3.0,2942.00
